participant	content	token	lemma	tagged_token	tagged_lemma	file
CHI	that's not a good one that's a bad alien i'm thinking   'cause he's like  agh  and like getting mad at us i don't see a gem so we can just like run   know what i'm saying   do we click on it  	['that', 'is', 'not', 'a', 'good', 'one', 'that', 'is', 'a', 'bad', 'alien', 'i', 'am', 'thinking', 'because', 'he', 'is', 'like', 'agh', 'and', 'like', 'getting', 'mad', 'at', 'us', 'i', 'do', 'not', 'see', 'a', 'gem', 'so', 'we', 'can', 'just', 'like', 'run', 'know', 'what', 'i', 'am', 'saying', 'do', 'we', 'click', 'on', 'it']	['that', 'be', 'not', 'a', 'good', 'one', 'that', 'be', 'a', 'bad', 'alien', 'i', 'be', 'thinking', 'because', 'he', 'be', 'like', 'agh', 'and', 'like', 'get', 'mad', 'at', 'u', 'i', 'do', 'not', 'see', 'a', 'gem', 'so', 'we', 'can', 'just', 'like', 'run', 'know', 'what', 'i', 'be', 'say', 'do', 'we', 'click', 'on', 'it']	[('that', 'DT'), ('is', 'VBZ'), ('not', 'RB'), ('a', 'DT'), ('good', 'JJ'), ('one', 'NN'), ('that', 'WDT'), ('is', 'VBZ'), ('a', 'DT'), ('bad', 'JJ'), ('alien', 'NN'), ('i', 'NN'), ('am', 'VBP'), ('thinking', 'NN'), ('because', 'IN'), ('he', 'PRP'), ('is', 'VBZ'), ('like', 'IN'), ('agh', 'NN'), ('and', 'CC'), ('like', 'IN'), ('getting', 'VBG'), ('mad', 'NN'), ('at', 'IN'), ('us', 'PRP'), ('i', 'VB'), ('do', 'VBP'), ('not', 'RB'), ('see', 'VB'), ('a', 'DT'), ('gem', 'NN'), ('so', 'IN'), ('we', 'PRP'), ('can', 'MD'), ('just', 'RB'), ('like', 'VB'), ('run', 'NN'), ('know', 'VBP'), ('what', 'WP'), ('i', 'VBP'), ('am', 'VBP'), ('saying', 'VBG'), ('do', 'VBP'), ('we', 'PRP'), ('click', 'VB'), ('on', 'IN'), ('it', 'PRP')]	[('that', 'DT'), ('be', 'VB'), ('not', 'RB'), ('a', 'DT'), ('good', 'JJ'), ('one', 'NN'), ('that', 'WDT'), ('be', 'VB'), ('a', 'DT'), ('bad', 'JJ'), ('alien', 'NN'), ('i', 'NN'), ('be', 'VB'), ('thinking', 'VBG'), ('because', 'IN'), ('he', 'PRP'), ('be', 'VB'), ('like', 'IN'), ('agh', 'JJ'), ('and', 'CC'), ('like', 'JJ'), ('get', 'NN'), ('mad', 'NN'), ('at', 'IN'), ('u', 'JJ'), ('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('see', 'VB'), ('a', 'DT'), ('gem', 'NN'), ('so', 'IN'), ('we', 'PRP'), ('can', 'MD'), ('just', 'RB'), ('like', 'VB'), ('run', 'NN'), ('know', 'VBP'), ('what', 'WP'), ('i', 'JJ'), ('be', 'VB'), ('say', 'VBN'), ('do', 'VBP'), ('we', 'PRP'), ('click', 'VB'), ('on', 'IN'), ('it', 'PRP')]	Dyad2-time1-condTD.txt
INV	 the answer that you want  	['the', 'answer', 'that', 'you', 'want']	['the', 'answer', 'that', 'you', 'want']	[('the', 'DT'), ('answer', 'NN'), ('that', 'IN'), ('you', 'PRP'), ('want', 'VBP')]	[('the', 'DT'), ('answer', 'NN'), ('that', 'IN'), ('you', 'PRP'), ('want', 'VBP')]	Dyad2-time1-condTD.txt
CHI	that's  	['that', 'is']	['that', 'be']	[('that', 'DT'), ('is', 'VBZ')]	[('that', 'DT'), ('be', 'VB')]	Dyad2-time1-condTD.txt
MOT	now we're down two points  	['now', 'we', 'are', 'down', 'two', 'points']	['now', 'we', 'be', 'down', 'two', 'point']	[('now', 'RB'), ('we', 'PRP'), ('are', 'VBP'), ('down', 'RB'), ('two', 'CD'), ('points', 'NNS')]	[('now', 'RB'), ('we', 'PRP'), ('be', 'VB'), ('down', 'RP'), ('two', 'CD'), ('point', 'NN')]	Dyad2-time1-condTD.txt
CHI	hey we got this no we actually have zero points they can't go down  	['hey', 'we', 'got', 'this', 'no', 'we', 'actually', 'have', 'zero', 'points', 'they', 'can', 'not', 'go', 'down']	['hey', 'we', 'get', 'this', 'no', 'we', 'actually', 'have', 'zero', 'point', 'they', 'can', 'not', 'go', 'down']	[('hey', 'NN'), ('we', 'PRP'), ('got', 'VBD'), ('this', 'DT'), ('no', 'DT'), ('we', 'PRP'), ('actually', 'RB'), ('have', 'VBP'), ('zero', 'CD'), ('points', 'NNS'), ('they', 'PRP'), ('can', 'MD'), ('not', 'RB'), ('go', 'VB'), ('down', 'RP')]	[('hey', 'NN'), ('we', 'PRP'), ('get', 'VBP'), ('this', 'DT'), ('no', 'DT'), ('we', 'PRP'), ('actually', 'RB'), ('have', 'VBP'), ('zero', 'VBN'), ('point', 'NN'), ('they', 'PRP'), ('can', 'MD'), ('not', 'RB'), ('go', 'VB'), ('down', 'RP')]	Dyad2-time1-condTD.txt
MOT	we're in the negatives  	['we', 'are', 'in', 'the', 'negatives']	['we', 'be', 'in', 'the', 'negative']	[('we', 'PRP'), ('are', 'VBP'), ('in', 'IN'), ('the', 'DT'), ('negatives', 'NNS')]	[('we', 'PRP'), ('be', 'VB'), ('in', 'IN'), ('the', 'DT'), ('negative', 'JJ')]	Dyad2-time1-condTD.txt
CHI	okay so this is a  this is a good alien  	['okay', 'so', 'this', 'is', 'a', 'this', 'is', 'a', 'good', 'alien']	['okay', 'so', 'this', 'be', 'a', 'this', 'be', 'a', 'good', 'alien']	[('okay', 'RB'), ('so', 'RB'), ('this', 'DT'), ('is', 'VBZ'), ('a', 'DT'), ('this', 'DT'), ('is', 'VBZ'), ('a', 'DT'), ('good', 'JJ'), ('alien', 'NN')]	[('okay', 'RB'), ('so', 'RB'), ('this', 'DT'), ('be', 'VB'), ('a', 'DT'), ('this', 'DT'), ('be', 'VB'), ('a', 'DT'), ('good', 'JJ'), ('alien', 'NN')]	Dyad2-time1-condTD.txt
MOT	why do you think that  	['why', 'do', 'you', 'think', 'that']	['why', 'do', 'you', 'think', 'that']	[('why', 'WRB'), ('do', 'VBP'), ('you', 'PRP'), ('think', 'VB'), ('that', 'IN')]	[('why', 'WRB'), ('do', 'VBP'), ('you', 'PRP'), ('think', 'VB'), ('that', 'IN')]	Dyad2-time1-condTD.txt
CHI	 well what do you think   what do you think  	['well', 'what', 'do', 'you', 'think', 'what', 'do', 'you', 'think']	['well', 'what', 'do', 'you', 'think', 'what', 'do', 'you', 'think']	[('well', 'RB'), ('what', 'WP'), ('do', 'VBP'), ('you', 'PRP'), ('think', 'VB'), ('what', 'WP'), ('do', 'VBP'), ('you', 'PRP'), ('think', 'VB')]	[('well', 'RB'), ('what', 'WP'), ('do', 'VBP'), ('you', 'PRP'), ('think', 'VB'), ('what', 'WP'), ('do', 'VBP'), ('you', 'PRP'), ('think', 'VB')]	Dyad2-time1-condTD.txt
MOT	he could be  	['he', 'could', 'be']	['he', 'could', 'be']	[('he', 'PRP'), ('could', 'MD'), ('be', 'VB')]	[('he', 'PRP'), ('could', 'MD'), ('be', 'VB')]	Dyad2-time1-condTD.txt
