original_index	participant	content	token	lemma	tagged_token	tagged_lemma	original_file	file
1	CHI	okay you're good  	['okay', 'you', 'are', 'good']	['okay', 'you', 'be', 'good']	[('okay', 'IN'), ('you', 'PRP'), ('are', 'VBP'), ('good', 'JJ')]	[('okay', 'NN'), ('you', 'PRP'), ('be', 'VB'), ('good', 'JJ')]	Dyad1-time1-condTD.txt	time1-time1-condTD
3	MOT	now we're down two points  	['now', 'we', 'are', 'down', 'two', 'points']	['now', 'we', 'be', 'down', 'two', 'point']	[('now', 'RB'), ('we', 'PRP'), ('are', 'VBP'), ('down', 'RB'), ('two', 'CD'), ('points', 'NNS')]	[('now', 'RB'), ('we', 'PRP'), ('be', 'VB'), ('down', 'RP'), ('two', 'CD'), ('point', 'NN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
3	CHI	 he looks good  	['he', 'looks', 'good']	['he', 'look', 'good']	[('he', 'PRP'), ('looks', 'VBZ'), ('good', 'JJ')]	[('he', 'PRP'), ('look', 'VBD'), ('good', 'JJ')]	Dyad1-time1-condTD.txt	time1-time1-condTD
5	MOT	we're in the negatives  	['we', 'are', 'in', 'the', 'negatives']	['we', 'be', 'in', 'the', 'negative']	[('we', 'PRP'), ('are', 'VBP'), ('in', 'IN'), ('the', 'DT'), ('negatives', 'NNS')]	[('we', 'PRP'), ('be', 'VB'), ('in', 'IN'), ('the', 'DT'), ('negative', 'JJ')]	Dyad2-time1-condTD.txt	time1-time1-condTD
5	CHI	so what  so what else  	['so', 'what', 'so', 'what', 'else']	['so', 'what', 'so', 'what', 'else']	[('so', 'RB'), ('what', 'WP'), ('so', 'IN'), ('what', 'WP'), ('else', 'JJ')]	[('so', 'RB'), ('what', 'WP'), ('so', 'IN'), ('what', 'WP'), ('else', 'JJ')]	Dyad1-time1-condTD.txt	time1-time1-condTD
7	MOT	why do you think that  	['why', 'do', 'you', 'think', 'that']	['why', 'do', 'you', 'think', 'that']	[('why', 'WRB'), ('do', 'VBP'), ('you', 'PRP'), ('think', 'VB'), ('that', 'IN')]	[('why', 'WRB'), ('do', 'VBP'), ('you', 'PRP'), ('think', 'VB'), ('that', 'IN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
7	CHI	ask for a gem maybe  	['ask', 'for', 'a', 'gem', 'maybe']	['ask', 'for', 'a', 'gem', 'maybe']	[('ask', 'NN'), ('for', 'IN'), ('a', 'DT'), ('gem', 'NN'), ('maybe', 'RB')]	[('ask', 'NN'), ('for', 'IN'), ('a', 'DT'), ('gem', 'NN'), ('maybe', 'RB')]	Dyad1-time1-condTD.txt	time1-time1-condTD
9	MOT	he could be  	['he', 'could', 'be']	['he', 'could', 'be']	[('he', 'PRP'), ('could', 'MD'), ('be', 'VB')]	[('he', 'PRP'), ('could', 'MD'), ('be', 'VB')]	Dyad2-time1-condTD.txt	time1-time1-condTD
9	CHI	we have zero points   now we have forty of them  	['we', 'have', 'zero', 'points', 'now', 'we', 'have', 'forty', 'of', 'them']	['we', 'have', 'zero', 'point', 'now', 'we', 'have', 'forty', 'of', 'them']	[('we', 'PRP'), ('have', 'VBP'), ('zero', 'CD'), ('points', 'NNS'), ('now', 'RB'), ('we', 'PRP'), ('have', 'VBP'), ('forty', 'VBN'), ('of', 'IN'), ('them', 'PRP')]	[('we', 'PRP'), ('have', 'VBP'), ('zero', 'VBN'), ('point', 'NN'), ('now', 'RB'), ('we', 'PRP'), ('have', 'VBP'), ('forty', 'VBN'), ('of', 'IN'), ('them', 'PRP')]	Dyad1-time1-condTD.txt	time1-time1-condTD
11	MOT	okay so you think downward posture okay and his eyes are wide open  	['okay', 'so', 'you', 'think', 'downward', 'posture', 'okay', 'and', 'his', 'eyes', 'are', 'wide', 'open']	['okay', 'so', 'you', 'think', 'downward', 'posture', 'okay', 'and', 'his', 'eye', 'be', 'wide', 'open']	[('okay', 'RB'), ('so', 'RB'), ('you', 'PRP'), ('think', 'VBP'), ('downward', 'JJ'), ('posture', 'NN'), ('okay', 'NN'), ('and', 'CC'), ('his', 'PRP$'), ('eyes', 'NNS'), ('are', 'VBP'), ('wide', 'JJ'), ('open', 'JJ')]	[('okay', 'RB'), ('so', 'RB'), ('you', 'PRP'), ('think', 'VBP'), ('downward', 'JJ'), ('posture', 'NN'), ('okay', 'NN'), ('and', 'CC'), ('his', 'PRP$'), ('eye', 'NN'), ('be', 'VB'), ('wide', 'JJ'), ('open', 'JJ')]	Dyad2-time1-condTD.txt	time1-time1-condTD
